,year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,self_made,wealth_status
0,2024,4,1,233.0,Arnault,Bernard,Bernard Arnault & family,1949-03-05,75.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],False,Increased
1,2024,4,2,195.0,Musk,Elon,Elon Musk,1971-06-28,52.0,Male,United States,United States,Austin,Automotive,['Automotive'],True,Increased
2,2024,4,3,194.0,Bezos,Jeff,Jeff Bezos,1964-01-12,60.0,Male,United States,United States,Miami,Technology,['Technology'],True,Increased
3,2024,4,4,177.0,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,39.0,Male,United States,United States,Palo Alto,Technology,['Technology'],True,Increased
4,2024,4,5,141.0,Ellison,Larry,Larry Ellison,1944-08-17,79.0,Male,United States,United States,Woodside,Technology,['Technology'],True,Increased
5,2024,4,6,133.0,Buffett,Warren,Warren Buffett,1930-08-30,93.0,Male,United States,United States,Omaha,Finance & Investments,['Finance & Investments'],True,Increased
6,2024,4,7,128.0,Gates,Bill,Bill Gates,1955-10-28,68.0,Male,United States,United States,Medina,Technology,['Technology'],True,Increased
7,2024,4,8,121.0,Ballmer,Steve,Steve Ballmer,1956-03-24,68.0,Male,United States,United States,Hunts Point,Technology,['Technology'],True,Increased
8,2024,4,9,116.0,Ambani,Mukesh,Mukesh Ambani,1957-04-19,66.0,Male,India,India,Mumbai,Diversified,['Diversified'],False,Increased
9,2024,4,10,114.0,Page,Larry,Larry Page,1973-03-26,51.0,Male,United States,United States,Palo Alto,Technology,['Technology'],True,Increased
10,2024,4,11,110.0,Brin,Sergey,Sergey Brin,1973-08-21,50.0,Male,United States,United States,Los Altos,Technology,['Technology'],True,Increased
11,2024,4,12,106.0,Bloomberg,Michael,Michael Bloomberg,1942-02-14,82.0,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],True,Increased
12,2024,4,13,103.0,Ortega,Amancio,Amancio Ortega,1936-03-28,88.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],True,Increased
13,2024,4,14,102.0,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,84.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],True,Increased
